family,geometry_class,source_constraint,dimension,secret_l1_radius,required_acceptance,source_scale,acceptance_expression,acceptance_exact,acceptance,reciprocal_acceptance_exact,reciprocal_acceptance,source_count,target_count,target_entropy_bits,target_support_log_cardinality,target_coordinate_box_upper_bound,source_max_l2_squared,target_max_l2_squared,target_max_l2
hexagon_blocks,integral_rational,"16 blocks: |x|,|y|,|x+y| <= 223",32,2,3/4,223,(H(221)/H(223))^16,48518934607523479788256039273878744574957305462606394368702893819534528273883493441/64689314158154914188231719678449003860691280076060046619576624519525027878407206401,0.7500301284521664,64689314158154914188231719678449003860691280076060046619576624519525027878407206401/48518934607523479788256039273878744574957305462606394368702893819534528273883493441,1.3332797737921478,64689314158154914188231719678449003860691280076060046619576624519525027878407206401,48518934607523479788256039273878744574957305462606394368702893819534528273883493441,274.67665165246456,275,288,1591328,1562912,1250.1647891378161
hexagon_blocks,integral_rational,"16 blocks: |x|,|y|,|x+y| <= 608",32,2,9/10,608,(H(606)/H(608))^16,4836457949978693935224452731684965153807899668237411628020905616007681894085918366451028980671361/5373784935234237653775223666461738631060856969394759124967243692112900636464030696126050259898881,0.9000095851003531,5373784935234237653775223666461738631060856969394759124967243692112900636464030696126050259898881/4836457949978693935224452731684965153807899668237411628020905616007681894085918366451028980671361,1.1110992777799114,5373784935234237653775223666461738631060856969394759124967243692112900636464030696126050259898881,4836457949978693935224452731684965153807899668237411628020905616007681894085918366451028980671361,321.17904796479183,322,352,11829248,11751552,3428.0536751923823
hybrid_full,irrational_sqrt_threshold,"||x_block||_inf <= 18, ||x_block||_1 <= 101",32,2,1/2,18,"(C_32(16,99)/C_32(18,101))^1",161105354437409631083952396867056276481/317782436047913679875411140452191394689,0.506967460004992,317782436047913679875411140452191394689/161105354437409631083952396867056276481,1.9725131865271057,317782436047913679875411140452191394689,161105354437409631083952396867056276481,126.9212720494348,127,192,1741,1545,39.30648801406709
hybrid_full,irrational_sqrt_threshold,"||x_block||_inf <= 43, ||x_block||_1 <= 243",32,2,3/4,43,"(C_32(41,241)/C_32(43,243))^1",94058805689240439055475213702837106426431719983147/124725416472534212643366998843337964258865266002347,0.7541270123556022,124725416472534212643366998843337964258865266002347/94058805689240439055475213702837106426431719983147,1.3260365742322175,374176249417602637930100996530013892776595798007041,282176417067721317166425641108511319279295159949441,167.593002163908,168,224,10029,9701,98.49365461794989
hybrid_full,irrational_sqrt_threshold,"||x_block||_inf <= 115, ||x_block||_1 <= 650",32,2,9/10,115,"(C_32(113,648)/C_32(115,650))^1",14664141878586441797960036568902379220595532986706306523613418113/16290774224398876051450931922701855599352041137392889458915821313,0.9001500896515889,16290774224398876051450931922701855599352041137392889458915821313/14664141878586441797960036568902379220595532986706306523613418113,1.1109258461409017,16290774224398876051450931922701855599352041137392889458915821313,14664141878586441797960036568902379220595532986706306523613418113,213.15569072222019,214,256,71750,70734,265.95864340156345
hybrid_blocks_4,integral_rational,"8 blocks: ||x_block||_inf <= 63, ||x_block||_1 <= 126",32,2,1/2,63,"(C_4(61,124)/C_4(63,126))^8",38047080703786178407404019898468389679591090181875671275096932481/75378542886215502220656354747156658681567214259913024775812890625,0.5047468317504962,75378542886215502220656354747156658681567214259913024775812890625/38047080703786178407404019898468389679591090181875671275096932481,1.9811912370641978,75378542886215502220656354747156658681567214259913024775812890625,38047080703786178407404019898468389679591090181875671275096932481,214.53118383491045,215,224,63504,59568,244.0655649615488
hybrid_blocks_4,integral_rational,"8 blocks: ||x_block||_inf <= 149, ||x_block||_1 <= 298",32,2,3/4,149,"(C_4(147,296)/C_4(149,298))^8",47090579978829910345540757712885080671919888826526444836997785354590062890625/62775247542826716950131317657742256601709902302668456381038186067605339987201,0.7501456676328299,62775247542826716950131317657742256601709902302668456381038186067605339987201/47090579978829910345540757712885080671919888826526444836997785354590062890625,1.3330744189400092,62775247542826716950131317657742256601709902302668456381038186067605339987201,47090579978829910345540757712885080671919888826526444836997785354590062890625,254.7019737027631,255,288,355216,345776,588.0272102547636
hybrid_blocks_4,integral_rational,"8 blocks: ||x_block||_inf <= 406, ||x_block||_1 <= 812",32,2,9/10,406,"(C_4(404,810)/C_4(406,812))^8",4605315122876533226976133323721384537948177285658842285874749500025141526695293850442757121/5116410180242523584044819610124488896548642098070203288876477053811482575981985277306969601,0.9001067077577889,5116410180242523584044819610124488896548642098070203288876477053811482575981985277306969601/4605315122876533226976133323721384537948177285658842285874749500025141526695293850442757121,1.1109793887560846,5116410180242523584044819610124488896548642098070203288876477053811482575981985277306969601,4605315122876533226976133323721384537948177285658842285874749500025141526695293850442757121,301.1768284172773,302,320,2637376,2611488,1616.0099009597682
hybrid_blocks_8,irrational_sqrt_threshold,"4 blocks: ||x_block||_inf <= 44, ||x_block||_1 <= 124",32,2,1/2,44,"(C_8(42,122)/C_8(44,124))^4",3199429313135327481858026112867088790290617317405027850625/6341431305054993697205339770164553287889171541190980626561,0.5045279463304982,6341431305054993697205339770164553287889171541190980626561/3199429313135327481858026112867088790290617317405027850625,1.9820507610592013,6341431305054993697205339770164553287889171541190980626561,3199429313135327481858026112867088790290617317405027850625,191.02771600102534,192,224,20672,19888,141.02482051043356
hybrid_blocks_8,irrational_sqrt_threshold,"4 blocks: ||x_block||_inf <= 104, ||x_block||_1 <= 294",32,2,3/4,104,"(C_8(102,292)/C_8(104,294))^4",4202633728390239392663526697089925058170285407102819179159690466650625/5601573576331922143822769424069587461932916447821795221184334966312321,0.7502594888956631,5601573576331922143822769424069587461932916447821795221184334966312321/4202633728390239392663526697089925058170285407102819179159690466650625,1.3328721792935134,5601573576331922143822769424069587461932916447821795221184334966312321,4202633728390239392663526697089925058170285407102819179159690466650625,231.28433227417688,232,256,116112,114208,337.9467413661508
hybrid_blocks_8,irrational_sqrt_threshold,"4 blocks: ||x_block||_inf <= 283, ||x_block||_1 <= 800",32,2,9/10,283,"(C_8(281,798)/C_8(283,800))^4",393063370588677329938683805482458632712891982828337405899951624129994848290811050625/436668927795959146682180619481241111193481060718855606748082630730637201621720804481,0.9001404624153674,436668927795959146682180619481241111193481060718855606748082630730637201621720804481/393063370588677329938683805482458632712891982828337405899951624129994848290811050625,1.1109377277815924,436668927795959146682180619481241111193481060718855606748082630730637201621720804481,393063370588677329938683805482458632712891982828337405899951624129994848290811050625,277.6947938015288,278,320,859736,854472,924.37654665185
